"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","DV_TYPE","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:DIP(12.0.0)","CHN.O.INWD_D_AG_FL_ALL.BGD.A","OBS_VALUE","China, People's Republic of","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Bangladesh","Annual","Millions","","","","","","","","","","","","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.PER.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Peru","Annual","Millions","0.0","0.0","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.GRC.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Greece","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.BIH.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Bosnia and Herzegovina","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.GX454.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Other Near and Middle East Economies","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.U202.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Sub-Saharan Africa","Annual","Millions","0.0","0.0","5.0","34.04","29.23","82.74825","29.0","29.0","22.5","348.0","51.0","838.0","818.2025","641.668","722.049"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.IRL.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Ireland","Annual","Millions","8842.0","7673.0","8166.0","10025.0","18984.0","25783.0","58171.0","91539.0","46227.0","46437.0","63707.0","55788.0","52118.0","55039.0","53653.0"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.U150.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Europe","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.GX510.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","East Asia","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.THA.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","Thailand","Annual","Millions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1336747","10.1865147","10.8588647","11.1467047","10.2806647","13.73202529"
